,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,^GSPC,AAPL,^GSPC,AAPL,^GSPC,AAPL,^GSPC,AAPL,^GSPC,AAPL,^GSPC
Date,,,,,,,,,,,,
2020-01-02,73.15264129638672,3257.85009765625,75.0875015258789,3257.85009765625,75.1500015258789,3258.139892578125,73.79750061035156,3235.530029296875,74.05999755859375,3244.669921875,135480400,3459930000
2020-01-03,72.44145202636719,3234.85009765625,74.35749816894531,3234.85009765625,75.1449966430664,3246.14990234375,74.125,3222.340087890625,74.2874984741211,3226.360107421875,146322800,3484700000
2020-01-06,73.01869201660156,3246.280029296875,74.94999694824219,3246.280029296875,74.98999786376953,3246.840087890625,73.1875,3214.639892578125,73.44750213623047,3217.550048828125,118387200,3702460000
2020-01-07,72.67526245117188,3237.179931640625,74.59750366210938,3237.179931640625,75.2249984741211,3244.909912109375,74.37000274658203,3232.429931640625,74.95999908447266,3241.860107421875,108872000,3435910000
2020-01-08,73.84434509277344,3253.050048828125,75.79750061035156,3253.050048828125,76.11000061035156,3267.070068359375,74.29000091552734,3236.669921875,74.29000091552734,3238.590087890625,132079200,3726840000
2020-01-09,75.41287994384766,3274.699951171875,77.40750122070312,3274.699951171875,77.60749816894531,3275.580078125,76.55000305175781,3263.669921875,76.80999755859375,3266.030029296875,170108400,3641230000
2020-01-10,75.5833511352539,3265.35009765625,77.5824966430664,3265.35009765625,78.1675033569336,3282.989990234375,77.0625,3260.860107421875,77.6500015258789,3281.81005859375,140644800,3214580000
2020-01-13,77.1981430053711,3288.1298828125,79.23999786376953,3288.1298828125,79.26750183105469,3288.1298828125,77.7874984741211,3268.429931640625,77.91000366210938,3271.1298828125,121532000,3459390000
2020-01-14,76.15570831298828,3283.14990234375,78.16999816894531,3283.14990234375,79.39250183105469,3294.25,78.0425033569336,3277.18994140625,79.17500305175781,3285.35009765625,161954400,3687620000
2020-01-15,75.82933807373047,3289.2900390625,77.83499908447266,3289.2900390625,78.875,3298.659912109375,77.38749694824219,3280.68994140625,77.9625015258789,3282.27001953125,121923600,3721490000
2020-01-16,76.77922821044922,3316.81005859375,78.80999755859375,3316.81005859375,78.92500305175781,3317.110107421875,78.02249908447266,3302.820068359375,78.39749908447266,3302.969970703125,108829200,3540580000
2020-01-17,77.6292495727539,3329.6201171875,79.68250274658203,3329.6201171875,79.68499755859375,3329.8798828125,78.75,3318.860107421875,79.06749725341797,3323.659912109375,137816400,3726220000
2020-01-21,77.10315704345703,3320.7900390625,79.14250183105469,3320.7900390625,79.75499725341797,3329.7900390625,79.0,3316.610107421875,79.29750061035156,3321.030029296875,110843200,4104840000
2020-01-22,77.37837982177734,3321.75,79.42500305175781,3321.75,79.99749755859375,3337.77001953125,79.32749938964844,3320.0400390625,79.6449966430664,3330.02001953125,101832400,3623780000
2020-01-23,77.75103759765625,3325.5400390625,79.80750274658203,3325.5400390625,79.88999938964844,3326.8798828125,78.9124984741211,3301.8701171875,79.4800033569336,3315.77001953125,104472000,3766710000
